id,label
0,9
1,9
2,0
3,0
4,2
5,0
6,1
7,1
8,3
9,9
10,9
11,8
12,1
13,2
14,5
15,1
16,9
17,1
18,9
19,0
20,8
21,1
22,9
23,6
24,1
25,9
26,3
27,0
28,5
29,7
30,7
31,3
32,0
33,3
34,2
35,2
36,1
37,9
38,1
39,5
40,8
41,7
42,3
43,1
44,5
45,7
46,1
47,8
48,1
49,2
50,1
51,0
52,9
53,7
54,1
55,3
56,3
57,4
58,1
59,1
60,1
61,8
62,3
63,2
64,1
65,8
66,0
67,3
68,7
69,3
70,5
71,8
72,8
73,6
74,7
75,5
76,4
77,8
78,8
79,0
80,7
81,3
82,5
83,2
84,8
85,3
86,5
87,1
88,8
89,5
90,7
91,2
92,8
93,7
94,0
95,9
96,1
97,4
98,9
99,4
100,4
101,1
102,0
103,7
104,2
105,1
106,8
107,4
108,9
109,6
110,3
111,2
112,9
113,1
114,5
115,3
116,3
117,8
118,5
119,7
120,7
121,7
122,4
123,1
124,0
125,8
126,9
127,8
128,7
129,9
130,7
131,9
132,5
133,0
134,0
135,8
136,2
137,3
138,0
139,3
140,4
141,3
142,0
143,3
144,7
145,1
146,9
147,0
148,5
149,5
150,8
151,0
152,2
153,2
154,7
155,8
156,0
157,7
158,9
159,0
160,1
161,6
162,8
163,8
164,8
165,6
166,7
167,6
168,6
169,9
170,1
171,8
172,5
173,3
174,7
175,1
176,3
177,4
178,7
179,3
180,2
181,9
182,3
183,4
184,4
185,4
186,1
187,7
188,8
189,1
190,9
191,5
192,5
193,1
194,7
195,5
196,9
197,4
198,1
199,1
200,0
201,5
202,6
203,8
204,7
205,8
206,2
207,1
208,4
209,4
210,1
211,3
212,7
213,0
214,1
215,8
216,3
217,9
218,3
219,6
220,8
221,7
222,4
223,8
224,4
225,5
226,7
227,3
228,0
229,9
230,8
231,9
232,2
233,0
234,9
235,6
236,1
237,7
238,2
239,1
240,2
241,3
242,6
243,4
244,4
245,9
246,9
247,3
248,1
249,1
250,9
251,7
252,9
253,9
254,5
255,3
256,2
257,4
258,7
259,4
260,7
261,5
262,3
263,4
264,3
265,2
266,7
267,0
268,6
269,0
270,7
271,7
272,0
273,8
274,8
275,0
276,3
277,8
278,8
279,0
280,7
281,4
282,0
283,0
284,8
285,1
286,5
287,3
288,1
289,1
290,5
291,8
